"V1","V2","V3","V4","V5","V6","V7","V8"
2.6837995471579,4.97022442669876,0.664846102890774,2.40794894505909,1.59187304771493,3.44737664389171,0.510829022294875,1.84705174095196
3.68868651296596,5.92597194115085,0.687378457791844,2.61599171422717,2.19454276121235,4.37371512178476,0.518751667555685,1.82534387459992
3.57801057909848,5.79555891934078,0.695211638766551,2.53551836109331,1.97925084569827,4.08673266978227,0.510133139088041,1.80723066091188
3.60751515178869,6.07910016001548,0.573555416793229,2.88114980699322,2.65179230028058,5.37384466480569,0.477129415531213,2.4380258645091
5.13943484791075,7.23095817263196,1.26917768038482,3.68811944688259,5.08212052723907,7.55346610825253,1.11364293629776,2.36219115181081
3.50487169305965,5.99817026679728,0.478875873160524,2.82648939420455,2.64718053692904,5.12730366126956,0.422962795426938,2.44880990954841
4.4557383312503,6.7146899351524,0.787813166007807,3.1756016042901,3.41477500292032,5.91637829367941,0.577802297685065,2.44883984142156
5.15397233890844,6.9427585711173,1.09375154132995,3.73099048866345,4.42770427577341,7.50950846239641,0.691181656493064,1.8364088775212
5.08342356424585,7.08997346795322,0.98975879993191,3.85317445647702,5.24225402231234,7.84844509388995,1.13014106520771,4.67580031591417
3.22841520995496,7.24299559662535,1.08696324453525,3.85924713343355,4.98735454299502,7.99181947546669,0.638153731459368,3.04040593571531
4.86883116905257,6.72134891013754,1.15373093877233,3.34909951516046,3.75862720576388,5.6313371827056,0.912410627602536,2.28114938850539
4.87916584813025,6.73348013081413,1.11449287878284,3.40648452395805,3.92801559455908,5.92430493050964,0.941554949448084,2.68955667686367
4.87535970017663,6.69067226096917,1.0856989577107,3.37875482391673,3.92072457133617,5.76413421551561,0.906391173287777,2.54067787954187
3.31416474667027,7.21844141266383,1.3985226208961,3.89735633346291,5.00478772206644,7.82763807405902,0.5520865448652,3.21039447636697
4.60940529417067,7.05820183273749,0.69309367353485,3.67912139898152,3.50231316053394,7.40332306196961,0.661251737651003,2.41996856906139
4.97406367376887,6.99270837756188,1.29731103280247,3.6577168807434,4.31960295046284,7.60046887185756,0.864616452863484,2.71613212121457
